time,temp,snr,rssi
4164,19,6,-51
4170,19,7,-51
4175,19,6,-51
4181,19,7,-57
4186,19,7,-52
4191,19,6,-52
4197,19,8,-56
4202,19,7,-55
4208,19,7,-57
4213,19,7,-55
4218,19,7,-55
4224,19,7,-56
4229,19,6,-55
4235,19,7,-56
4240,19,7,-57
4246,19,6,-55
4251,19,6,-55
4256,19,6,-52
4262,19,7,-51
4267,19,8,-61
4273,19,6,-59
4278,19,7,-54
4283,19,8,-52
4289,19,7,-57
4294,19,6,-52
4300,20,8,-52
4305,19,8,-51
4311,19,6,-51
4316,19,7,-54
4322,19,7,-52
4327,19,6,-52
4332,19,7,-52
4338,19,7,-53
4343,19,8,-52
4349,19,9,-52
4354,19,7,-64
4359,19,5,-51
4365,19,6,-51
4370,19,7,-52
4376,19,7,-52
4381,19,7,-52
4386,19,8,-52
4392,19,7,-53
4397,19,7,-53
4403,19,7,-52
4408,19,7,-52
4413,19,7,-53
4419,19,7,-53
4424,19,8,-53
4430,19,8,-53
4435,19,9,-53
4440,19,8,-53
4446,19,8,-53
4451,19,8,-53
4457,19,7,-53
4462,19,7,-53
4467,19,8,-55
4473,19,7,-57
4478,19,7,-57
4484,19,7,-59
4489,19,7,-58
4494,19,8,-57
4500,19,7,-57
4505,19,7,-57
4511,19,7,-60
4516,19,7,-54
4521,19,6,-56
4527,19,8,-60
4532,19,6,-56
4538,19,7,-57
4543,19,6,-54
4548,19,7,-56
4554,19,6,-55
4559,19,6,-56
4565,19,7,-54
4570,19,8,-55
4575,19,7,-54
4581,19,7,-54
4586,19,7,-55
4592,19,6,-55
4597,19,7,-54
4602,19,7,-54
4608,19,8,-55
4613,19,6,-55
4619,19,7,-55
4624,19,7,-54
4629,19,6,-53
4635,19,9,-58
4640,19,7,-60
4646,19,7,-55
4651,19,7,-56
4656,19,7,-56
4662,19,7,-54
4667,19,8,-60
4673,19,8,-58
4678,19,7,-55
4683,19,7,-52
4689,19,6,-57
4694,19,8,-57
4700,19,7,-57
4705,19,7,-61
4710,19,6,-61
4716,19,7,-61
4721,19,6,-61
4727,19,6,-61
4732,19,8,-63
4737,19,8,-63
4743,19,7,-63
4748,19,8,-63
4754,19,7,-63
4759,19,5,-52
4764,19,7,-52
4770,19,8,-53
4775,19,9,-53
4781,19,7,-54
4786,19,6,-63
4791,19,7,-52
4797,19,6,-54
4802,19,6,-56
4826,19,6,-51
4831,19,6,-52
4836,19,5,-52
4851,19,6,-52
4856,19,6,-52
4862,19,7,-51
4867,19,7,-51
4873,19,6,-52
4878,19,6,-51
4883,19,6,-51
4889,19,6,-51
4903,19,4,-48
4918,19,6,-51
4941,18,5,-52
4946,18,6,-52
4952,18,6,-52
4966,18,6,-52
4972,18,7,-52
4977,18,6,-52
4982,18,6,-52
4988,18,6,-52
4993,19,6,-51
4999,19,6,-51
5004,18,6,-52
5009,19,6,-51
5015,19,6,-51
5020,19,7,-51
5026,18,7,-52
5031,19,6,-51
5036,18,6,-52
5042,19,6,-51
5047,19,6,-51
5053,19,7,-51
5058,19,7,-51
5063,19,7,-51
5069,19,6,-51
5074,19,6,-51
5080,19,6,-51
5085,19,6,-51
5090,19,6,-51
5096,19,6,-51
5101,19,6,-51
5107,19,7,-54
5112,18,6,-52
5117,19,6,-51
5123,19,6,-51
5128,19,6,-51
5134,18,7,-52
5139,19,6,-51
5144,19,6,-51
5150,19,6,-51
5155,19,6,-51
5161,19,6,-51
5166,19,6,-51
5171,19,6,-51
5177,19,6,-51
5182,19,6,-51
5188,19,8,-51
5193,19,6,-51
5198,19,6,-51
5204,19,7,-51
5209,19,6,-51
5215,19,7,-51
5220,19,7,-51
5225,19,6,-51
5231,19,6,-51
5236,19,6,-51
5242,19,6,-51
5247,19,6,-51
5252,19,6,-51
5258,19,6,-51
5263,19,6,-51
5269,19,6,-51
5274,19,7,-51
5279,19,5,-51
5285,19,6,-51
5290,19,6,-51
5296,19,7,-51
5301,19,5,-51
5306,19,6,-51
5312,19,6,-51
5317,19,6,-51
5323,19,7,-51
5328,19,6,-51
5333,19,7,-51
5339,18,6,-52
5344,18,6,-52
5350,18,7,-52
5355,18,6,-52
5360,19,6,-51
5366,19,7,-51
5371,19,5,-51
5377,19,7,-51
5382,19,7,-51
5387,19,5,-51
5393,19,5,-51
5398,19,6,-51
5404,18,7,-52
5409,18,6,-52
5414,19,7,-51
5420,19,6,-51
5425,19,6,-51
5431,19,6,-51
5436,19,7,-51
5441,19,7,-51
5447,19,7,-51
5452,19,6,-51
5458,19,6,-51
5463,19,7,-51
5468,20,6,-59
5474,19,6,-51
5480,19,7,-51
5485,19,6,-51
5490,19,6,-51
5496,19,6,-51
5501,19,7,-51
5507,19,6,-51
5512,19,6,-51
5517,19,6,-51
5523,19,6,-51
5528,19,6,-51
5534,19,6,-51
5539,19,6,-51
5545,19,6,-51
5550,19,7,-51
5555,19,7,-51
5561,19,6,-51
5566,19,6,-51
5572,19,6,-51
5577,19,6,-51
5582,19,6,-51
5588,19,7,-52
5593,19,7,-52
5599,19,6,-52
5604,19,6,-52
5609,19,6,-53
5615,19,7,-52
5620,19,7,-52
5626,19,6,-53
5631,19,6,-53
5636,19,6,-52
5642,19,6,-53
5647,19,6,-53
5653,19,6,-53
5658,19,6,-52
5663,19,7,-53
5669,19,6,-53
5674,19,6,-52
5680,19,6,-52
5685,19,6,-53
5690,19,7,-52
5696,19,6,-52
5701,19,7,-52
5707,19,6,-53
5712,19,7,-53
5717,19,7,-53
5723,19,6,-52
5728,18,6,-54
5734,19,6,-53
5739,19,6,-53
5744,19,6,-53
5750,19,6,-53
5755,19,7,-53
5761,19,6,-52
5766,19,6,-52
5771,19,6,-52
5777,19,7,-53
5782,19,6,-52
5788,19,6,-53
5793,19,6,-53
5798,19,8,-53
5804,19,6,-53
5809,19,6,-53
5815,19,6,-52
5820,19,6,-52
5825,19,6,-52
5831,19,6,-53
5836,19,6,-53
5842,19,6,-53
5847,19,7,-53
5852,19,6,-52
5858,19,6,-52
5863,19,7,-53
5869,19,7,-53
5874,19,7,-53
5879,19,6,-52
5885,19,6,-52
5890,19,6,-52
5896,19,6,-53
5901,19,6,-52
5906,19,6,-53
5912,19,7,-53
5917,19,6,-52
5923,19,6,-53
5928,19,6,-52
5933,19,6,-53
5939,19,7,-53
5944,19,7,-53
5950,19,6,-53
5955,19,7,-51
5960,18,6,-53
5966,18,6,-54
5971,19,6,-53
5977,18,5,-53
5982,18,6,-53
5987,18,6,-53
5993,19,6,-52
5998,19,6,-53
6004,19,6,-53
6009,19,7,-53
6014,19,7,-52
6020,19,6,-53
6025,19,7,-53
6031,19,6,-52
6036,19,6,-53
6041,19,6,-52
6047,19,6,-53
6052,19,6,-52
6058,19,6,-53
6063,18,6,-53
6068,19,6,-52
6074,19,6,-52
6079,18,6,-53
6085,18,6,-53
6090,19,6,-53
6095,19,7,-53
6101,19,6,-53
6106,19,6,-53
6112,18,6,-53
6117,18,6,-54
6122,18,6,-54
6128,19,7,-52
6133,19,6,-53
6139,19,6,-53
6144,19,6,-53
6150,19,7,-53
6155,19,6,-52
6160,19,6,-53
6166,19,6,-52
6171,19,6,-53
6177,19,7,-52
6182,19,7,-52
6187,19,6,-53
6193,19,6,-53
6198,18,6,-54
6204,19,6,-53
6209,18,6,-53
6214,18,6,-54
6220,18,6,-54
6225,18,6,-53
6231,18,7,-53
6236,18,6,-53
6241,18,6,-54
6247,18,6,-54
6252,18,6,-53
6258,18,6,-54
6263,18,6,-54
6268,18,6,-54
6274,18,6,-54
6279,18,6,-53
6285,18,6,-54
6290,18,6,-53
6295,18,6,-54
6301,18,6,-53
6306,18,7,-54
6312,18,7,-54
6317,18,6,-53
6322,18,6,-54
6328,18,6,-53
6333,18,5,-53
6339,18,6,-53
6344,19,6,-53
6349,19,6,-53
6355,18,6,-53
6360,18,7,-54
6366,18,6,-53
6371,18,6,-54
6376,18,6,-53
6382,18,6,-54
6387,18,6,-53
6393,18,6,-54
6398,18,6,-54
6403,18,6,-53
6409,18,6,-53
6414,18,6,-53
6420,18,7,-54
6425,18,6,-54
6430,18,6,-54
6436,18,6,-53
6441,18,6,-53
6447,18,6,-54
6452,18,7,-53
6457,18,6,-54
6463,18,6,-54
6468,18,6,-54
6474,18,6,-53
6479,18,6,-54
6484,18,6,-53
6490,18,6,-54
6495,18,6,-54
6501,18,7,-53
6506,18,6,-53
6511,18,6,-53
6517,18,6,-54
6522,18,6,-53
6528,18,6,-54
6533,18,7,-53
6538,18,6,-53
6544,18,7,-53
6549,18,6,-53
6555,18,6,-54
6560,18,7,-54
6565,18,6,-54
6571,18,6,-54
6576,18,7,-54
6582,18,6,-53
6587,18,7,-54
6592,18,6,-54
6598,18,6,-53
6603,18,6,-53
6609,18,6,-53
6614,18,6,-53
6619,18,7,-54
6625,18,6,-53
6630,18,6,-53
6636,18,6,-53
6641,18,6,-54
6646,18,6,-53
6652,18,6,-54
6657,18,6,-54
6663,18,6,-53
6668,18,6,-54
6673,18,6,-53
6679,18,7,-54
6684,18,6,-54
6690,18,7,-54
6695,18,6,-53
6700,18,6,-54
6706,18,6,-54
6711,18,6,-53
6717,18,6,-54
6722,18,6,-53
6727,18,6,-54
6733,18,6,-54
6738,18,6,-54
6744,18,6,-53
6749,18,7,-54
6755,18,6,-53
6760,18,6,-54
6765,18,6,-54
6771,18,6,-53
6776,18,6,-53
6782,18,6,-53
6787,18,6,-54
6792,18,6,-53
6798,18,7,-54
6803,18,6,-54
6809,18,6,-53
6814,18,6,-54
6819,18,7,-54
6825,18,7,-53
6830,18,6,-54
6836,18,6,-54
6841,18,7,-53
6846,18,6,-53
6852,18,6,-54
6857,18,7,-54
6863,18,6,-53
6868,18,6,-53
6873,18,6,-53
6879,18,6,-53
6884,18,6,-53
6890,18,6,-53
6895,18,7,-54
6900,18,6,-54
6906,18,6,-54
6911,18,6,-52
6917,18,6,-53
6922,18,6,-53
6927,18,6,-53
6933,18,6,-54
6938,18,6,-54
6944,18,6,-53
6949,18,6,-54
6954,18,6,-53
6960,18,6,-53
6965,18,6,-53
6971,18,6,-53
6976,18,6,-54
6981,18,7,-53
6987,18,6,-53
6992,18,6,-54
6998,18,6,-54
7003,18,5,-54
7008,18,6,-54
7014,18,6,-54
7019,18,6,-54
7025,18,6,-53
7030,18,6,-54
7035,18,6,-53
7041,18,6,-53
7046,18,6,-53
7052,18,6,-54
7057,18,6,-53
7062,18,6,-53
